,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
0,1,0,0.8008473921131285,-0.8500000000000003,2.805391605542855,0.36956600260436223,1.359779393872403,1.407864657046527,1.0,0.13,5.0,20.0,0.0
1,2,1,0.8444682549950601,-1.758132190499118,2.7927626927997453,0.368213312747491,0.9117456062815249,1.4092069034062458,1.0,0.5,5.0,8.0,0.74
2,3,1,1.170796397779545,-1.6651652487544888,2.504888720463386,0.2565654492196594,0.9256889902139168,1.4244823559812312,1.0,0.13,5.0,40.0,0.0
3,4,0,1.17091456533646,-0.8391667536242693,2.4573270358737185,0.2672392705251204,0.6196495208630419,1.4403517558345211,1.0,0.5,5.0,5.0,0.74
4,5,1,1.2433816651966476,-0.810457969348984,2.6026136655225223,0.18224124345578474,0.5416750494792536,1.4345564604000307,1.0,0.13,5.0,40.0,0.0
5,6,1,1.423938798521636,-0.7477594382276707,2.059255580208203,0.20859501524733554,0.611293059490274,1.378422507950828,1.0,0.13,5.0,20.0,0.0
6,7,1,1.4421160229376322,-0.8384648707224055,2.131697199968506,0.17386793458998162,0.5564081501710627,1.3737530641315532,1.0,0.5,5.0,8.0,0.74
7,8,0,1.4612097013664382,-0.7058058828037217,2.314518998743569,0.14139818488436476,0.44544121000137976,1.3611099792402581,1.0,0.5,5.0,5.0,0.74
8,9,0,1.3614538140808246,-0.15113645574059464,1.7438952196504798,0.28381901822991923,0.45443804296907037,1.3563667248499724,1.0,0.5,5.0,8.0,0.74
9,10,1,1.415974409426529,-0.11624782524032601,1.835147872422737,0.19682937578850504,0.3540366997697381,1.3689398500189482,1.0,0.13,5.0,40.0,0.0
10,11,1,1.4706251896001896,-0.056318635525457156,2.230335972890267,0.13661188465145255,0.26116066534641114,1.4415422334200625,1.0,0.13,5.0,20.0,0.0
11,12,1,1.3316203598209908,-0.24210957910379782,0.6079223611532809,0.30711789307067944,0.5346644826306576,0.26723133739444327,1.0,0.75,5.0,5.0,0.0
12,13,1,1.3937313727065173,-0.2098591612996163,0.6157431483418613,0.2204343442622856,0.4444003169070095,0.2763698660710937,1.0,0.13,5.0,40.0,0.0
13,14,0,1.3774197775681096,-0.015801784405173203,0.6262203679898928,0.2404518750616109,0.39220051218837154,0.29126274019258885,1.0,0.5,5.0,8.0,0.74
14,15,1,1.4178832643558468,-0.0020512231683917507,0.6367516005814506,0.18237644537007622,0.33363294642148167,0.30183019600830996,1.0,0.25,5.0,20.0,0.0
15,16,1,1.4414107622053076,0.0059831813994949325,0.6445573775711343,0.14450914181883445,0.29925412314230176,0.3092311553051446,1.0,0.25,5.0,20.0,0.0
16,17,0,1.437101471383029,0.10381872110779916,0.6372671932152156,0.14817276849580394,0.2832709139631779,0.3014042119160865,1.0,0.5,5.0,8.0,0.74
17,18,1,1.4529675484063256,0.104849357989224,0.6432027595578766,0.12322776590910961,0.2645895698665624,0.3070869491986532,1.0,0.25,5.0,20.0,0.0
18,19,0,1.4491283320869461,0.18011302807763818,0.6237533808495594,0.12683391936715618,0.27194375628873607,0.28669254811944517,1.0,0.5,5.0,8.0,0.74
19,20,1,1.4554366291206726,0.05324196011472502,0.6642493378432741,0.12063639759023084,0.20618213045036307,0.3254944858269698,1.0,0.5,5.0,8.0,0.74
20,21,1,1.4659815931364462,0.054996896081972266,0.6693145553772437,0.1029134656696487,0.19356521680427324,0.3296632427579205,1.0,0.25,5.0,20.0,0.0
21,22,1,1.4735904290520432,0.05626441780544574,0.6732081343271261,0.09018523605885537,0.185287401010896,0.33286144376827953,1.0,0.25,5.0,20.0,0.0
22,23,0,1.2218637959981478,0.013980781340651702,0.5404390219648205,0.1330515277275346,0.35527355916427505,0.1390403408498218,1.0,0.25,5.0,20.0,0.0
