,trial,response,mean_alpha,mean_beta,mean_gamma,sd_alpha,sd_beta,sd_gamma,p_null,p_reward,value_null,value_reward,amb_level
0,1,1,0.8008473921131283,-0.8500000000000001,2.805391605542855,0.36956600260436223,1.3597793938724032,1.407864657046527,1.0,0.13,-5.0,-20.0,0.0
1,2,1,0.7436771291930682,0.34021387168633205,2.821943278623496,0.3634896886303755,0.8278652711186564,1.4059317882237594,1.0,0.5,-5.0,-8.0,0.74
2,3,1,0.6299532690345526,0.9520587729169434,2.916441489272853,0.3573779050632349,0.5226401886034001,1.381657175308106,1.0,0.5,-5.0,-50.0,0.74
3,4,0,0.9302212584702945,1.162234513027936,2.6174565025839556,0.33209116130049177,0.3948433323685571,1.3971707959446171,1.0,0.25,-5.0,-40.0,0.0
4,5,0,1.168845174906084,1.2503808838447887,2.5297719853349774,0.24960632945126507,0.27951801907406115,1.4198693657438866,1.0,0.13,-5.0,-40.0,0.0
5,6,1,0.7527115195043192,1.0412993619736506,1.6854412545481674,0.2528043302953023,0.5849749746720031,1.1460273022354175,1.0,0.13,-5.0,-40.0,0.0
6,7,0,0.847271102897638,1.1665640093748362,1.865563861530614,0.19259475580137764,0.4268269218575868,1.2101394984142486,1.0,0.25,-5.0,-40.0,0.0
7,8,1,0.8690448739598619,1.2453498075933753,1.9960128304552294,0.1686189083979824,0.2531367136616753,1.2153867526925246,1.0,0.5,-5.0,-50.0,0.74
8,9,0,0.9016534596162709,1.2758518879362373,2.100857223006238,0.12353986587594352,0.16609050970006295,1.2209183391383487,1.0,0.25,-5.0,-40.0,0.0
9,10,0,0.9558791346439285,1.2725522523242532,1.3844172908819146,0.16747851265906338,0.1823229670950385,0.9207952663521937,1.0,0.13,-5.0,-40.0,0.0
10,11,0,1.0463760158998485,1.2788865452339255,0.9595721521051152,0.180098280941612,0.1615538973938878,0.625315844345003,1.0,0.13,-5.0,-40.0,0.0
11,12,0,1.1253939369083397,1.2883937148363536,0.7701029511254187,0.14778958079086962,0.11996060277430723,0.42341116480703156,1.0,0.13,-5.0,-40.0,0.0
12,13,0,1.168700069302555,1.294736699149671,0.7139229803087843,0.10264236658559078,0.08033212886196137,0.33901376516257903,1.0,0.13,-5.0,-40.0,0.0
13,14,0,1.1875104199529665,1.2977949342660644,0.7085956517609486,0.06658981537729568,0.05142399583475689,0.3201423468287095,1.0,0.13,-5.0,-40.0,0.0
14,15,0,1.1950554021698647,1.2990989610060142,0.7189928635576934,0.04238613100948616,0.03237717468348041,0.32147942338711627,1.0,0.13,-5.0,-40.0,0.0
15,16,0,1.1980416015118893,1.2996331398478038,0.7340447634511877,0.02702466139419175,0.020279508573898843,0.32708915542406636,1.0,0.13,-5.0,-40.0,0.0
16,17,0,1.1992350846402835,1.2998498851744746,0.7506031789154608,0.01747354811974144,0.01269324313607867,0.33302439129918276,1.0,0.13,-5.0,-40.0,0.0
17,18,1,1.1993187498481626,1.2998870504986115,0.778060110031241,0.01634560418490608,0.010526096881438114,0.3426463744402053,1.0,0.5,-5.0,-8.0,0.24
18,19,0,1.1988692442564726,1.2997106409395245,0.5958498449692028,0.021535725800539782,0.018174552174959394,0.2086591051710621,1.0,0.5,-5.0,-8.0,0.24
19,20,0,1.1995460169350372,1.2998775787860106,0.6048292777747007,0.014520510879140457,0.011532481270023114,0.21620509804360943,1.0,0.13,-5.0,-40.0,0.0
20,21,0,1.1992797316516395,1.2997499545074604,0.5342045785966095,0.018144743326067178,0.017689182091937577,0.12803414317996065,1.0,0.5,-5.0,-8.0,0.24
21,22,1,1.195912726894363,1.29864784285437,0.5058664593663125,0.0406727952519569,0.041760603374994536,0.05405570830560614,1.0,0.13,-5.0,-40.0,0.0
22,23,0,1.1979587115946613,1.2994194707593225,0.5058010283381917,0.02774641906828361,0.025974537079138268,0.053709363247297595,1.0,0.13,-5.0,-50.0,0.0
23,24,0,1.198963185228753,1.299741372796827,0.505828132178852,0.019199079831420288,0.016318367844653313,0.0538049846196122,1.0,0.13,-5.0,-50.0,0.0
24,25,0,1.199466340881694,1.2998800144408504,0.5059081769787116,0.013456151978845659,0.010399838422043823,0.05415252257118832,1.0,0.13,-5.0,-50.0,0.0
25,26,0,1.1997225684193218,1.2999418487257546,0.5060191374625406,0.009531935870823,0.006756717152204602,0.05464327463130018,1.0,0.13,-5.0,-50.0,0.0
26,27,0,1.1998719025534466,1.2999723603887556,0.5066775969057108,0.0064391451961695175,0.004486251069214846,0.057508990607656685,1.0,0.13,-5.0,-40.0,0.0
27,28,0,1.1999406026116495,1.2999860832256116,0.5074299513376842,0.0043619744162856685,0.0030454424381093897,0.060615459023682455,1.0,0.13,-5.0,-40.0,0.0
28,29,0,1.1999723618346103,1.2999922973097127,0.5082741878864904,0.002962429085915032,0.0021509621368053966,0.06391322996074032,1.0,0.13,-5.0,-40.0,0.0
29,30,0,1.199963442643843,1.2999884800211148,0.5025163274090559,0.003452476820764722,0.0028062714529369826,0.03540003781924111,1.0,0.5,-5.0,-8.0,0.24
30,31,0,1.199982857778173,1.2999930152809513,0.5028057801654993,0.0023507692857392716,0.0020424957901839826,0.03737002656380641,1.0,0.13,-5.0,-40.0,0.0
31,32,1,1.1999843741785454,1.2999938285034849,0.5033038464559618,0.0022309733067967566,0.0018602733388811035,0.04053220921871115,1.0,0.5,-5.0,-8.0,0.24
32,33,1,1.1999857242346788,1.2999945175741754,0.503889646253524,0.002121959175823817,0.0017077675578624403,0.043954277744566526,1.0,0.5,-5.0,-8.0,0.24
33,34,0,1.19998097803909,1.2999921935336676,0.5011778912462193,0.002475776168394026,0.0021416841132337367,0.024243434991091405,1.0,0.5,-5.0,-8.0,0.24
34,35,0,1.199991050445334,1.299994515216666,0.5013139501651692,0.0016906068339497169,0.0016885025712562996,0.025601927789716147,1.0,0.13,-5.0,-40.0,0.0
35,36,0,1.1999879278702665,1.2999923986216175,0.5003966945049693,0.0019887252778350716,0.0020865502302753846,0.014078597968874495,1.0,0.5,-5.0,-8.0,0.24
36,37,0,1.1999943201375431,1.299994095057168,0.5004426237153297,0.0013568925841913433,0.001724429889417168,0.014870615565016093,1.0,0.13,-5.0,-40.0,0.0
37,38,1,1.1999952599083135,1.2999995104703836,0.5004784671049526,0.0012266655988448743,0.0005949054935267829,0.01546045274370662,1.0,0.5,-5.0,-50.0,0.74
38,39,0,1.1999977675024383,1.29999977178352,0.5005339037801033,0.0008413560370660833,0.00039416109297526835,0.016330664629022357,1.0,0.13,-5.0,-40.0,0.0
39,40,1,1.1999979591392382,1.299999806339962,0.5006291638505806,0.0008022200072799155,0.00035108394905700624,0.017726122821900767,1.0,0.5,-5.0,-8.0,0.24
40,41,1,1.1999981327743674,1.2999998346822979,0.5007413953481146,0.0007658287605834336,0.00031477910678997113,0.0192401728256131,1.0,0.5,-5.0,-8.0,0.24
41,42,1,1.1999982904495792,1.2999998581505499,0.5008736121241154,0.0007318564713689953,0.00028397834869722035,0.020882710901509203,1.0,0.5,-5.0,-8.0,0.24
42,43,1,1.1999984338919711,1.299999877750587,0.5010293594459388,0.0007000404006742339,0.0002576533908782145,0.02266440809733925,1.0,0.5,-5.0,-8.0,0.24
43,44,1,1.1999985645776596,1.299999894245604,0.501212806223884,0.0006701678445818191,0.00023497428343744546,0.024596756443816214,1.0,0.5,-5.0,-8.0,0.24
